RSS            K Variance     Outer Scale    Diameter       Wind X         Wind Y         
362.4356394    298.0186328    1.1382394      0.0458106      -0.0183707     0.1045195      
352.8711414    294.5060477    1.176769       0.0439711      -0.0325828     0.1121569      
353.0313003    310.0901434    1.1103398      0.0389851      -0.0301981     0.1127552      
355.8073052    292.5415523    1.150421       0.0502364      -0.0235864     0.1072297      
351.2436915    301.6881696    1.1500654      0.0408187      -0.0306516     0.1118361      
350.0155736    296.0525388    1.1658122      0.0412028      -0.0313317     0.1124302      
353.0124775    293.3997642    1.1792248      0.0392897      -0.0335969     0.1140361      
351.9333782    303.4658       1.1502767      0.0389385      -0.0342503     0.1147282      
355.0429536    285.2729495    1.2136599      0.0454878      -0.0316843     0.1112567      
350.4598535    303.8858449    1.1361698      0.0406108      -0.0305696     0.1123806      
347.6714604    304.6089642    1.130991       0.0391577      -0.0284942     0.1119445      
348.2010402    309.6604224    1.1081021      0.0367511      -0.0264499     0.1118383      
352.3913657    296.1064775    1.149769       0.0442781      -0.0245244     0.1082597      
349.567193     301.6259694    1.1501498      0.0402734      -0.0318188     0.1131111      
346.1300897    297.8592279    1.1500141      0.0421797      -0.0285898     0.1116618      
344.361686     295.944757     1.1499884      0.0428602      -0.0275589     0.1115746      
352.6072575    308.1520535    1.1261687      0.0353907      -0.03402       0.1156979      
348.1634122    296.5593956    1.156849       0.0435361      -0.027922      0.1105833      
346.6491214    294.0308051    1.1653464      0.0422013      -0.0282807     0.1114769      
344.4375652    301.0554177    1.1355176      0.0420087      -0.0262981     0.111046       
346.5812864    295.2537664    1.1453272      0.0436323      -0.0236028     0.109539       
342.868522     299.7980886    1.1340192      0.040408       -0.0257719     0.1116491      
341.6078205    301.4174351    1.1226043      0.0388439      -0.0246968     0.112182       
344.5148869    290.4719083    1.1565225      0.0446608      -0.0236807     0.1103829      
342.1176577    299.6265088    1.1186376      0.0426011      -0.0220542     0.1104129      
338.8369213    300.1526443    1.127981       0.0407576      -0.0261127     0.1127003      
336.2410825    302.6020833    1.1193079      0.0393203      -0.0273677     0.1142809      
343.5711476    309.7865724    1.1018998      0.0375928      -0.0275096     0.1134157      
337.526923     302.695525     1.1094576      0.0384786      -0.0253768     0.1137004      
337.9723139    310.5064928    1.0787745      0.0358744      -0.0232432     0.1140222      
338.4118307    296.9526456    1.117613       0.0404544      -0.0215859     0.1124237      
336.1965645    306.0431639    1.1004653      0.0345876      -0.0268539     0.1162308      
339.2859833    309.2514915    1.0913791      0.0305808      -0.0292537     0.1191398      
330.8758373    306.1025291    1.087643       0.0366422      -0.0250742     0.1160812      
326.5798798    308.4450761    1.0701623      0.0355414      -0.0252628     0.1180309      
338.7258349    315.1642909    1.0736541      0.0330665      -0.0296559     0.1180824      
335.0800312    301.5055569    1.1066232      0.0386075      -0.0236034     0.1138384      
331.9683746    298.0100693    1.123632       0.0387397      -0.0281427     0.1164104      
327.4830656    303.9468549    1.0986187      0.03624        -0.0271154     0.1178161      
328.7984901    304.5782051    1.0804927      0.0341662      -0.0250236     0.1186497      
322.7587887    300.551141     1.0913463      0.0387303      -0.0248053     0.1176674      
317.434281     297.8051296    1.0867868      0.0408017      -0.0237809     0.1183857      
